block_size, sparsity, execution_time
8, 0.000000, 7961
8, 0.083333, 7341
8, 0.166667, 6719
8, 0.291667, 5767
8, 0.375000, 5147
8, 0.500000, 4141
8, 0.583333, 3557
8, 0.666667, 3499
8, 0.791667, 2289
8, 0.875000, 1537
16, 0.000000, 2723
16, 0.000000, 2732
16, 0.000000, 2726
16, 0.250000, 2129
16, 0.250000, 2125
16, 0.500000, 1530
16, 0.500000, 1528
16, 0.500000, 1526
16, 0.750000, 929
16, 0.750000, 933
32, 0.000000, 1987
32, 0.000000, 1986
32, 0.000000, 1991
32, 0.000000, 1996
32, 0.000000, 1991
32, 0.500000, 1163
32, 0.500000, 1168
32, 0.500000, 1160
32, 0.500000, 1166
32, 0.500000, 1166
64, 0.000000, 2007
64, 0.000000, 2004
64, 0.000000, 2002
64, 0.000000, 2003
64, 0.000000, 2003
64, 0.000000, 2007
64, 0.000000, 2002
64, 0.000000, 2004
64, 0.000000, 2002
64, 0.000000, 1999
