block_size, sparsity, execution_time
8, 0.000000, 85541
8, 0.099935, 65470
8, 0.199978, 58552
8, 0.299913, 50792
8, 0.399957, 42871
8, 0.500000, 35231
8, 0.599935, 28147
8, 0.699978, 21147
8, 0.799913, 14242
8, 0.899957, 7221
16, 0.000000, 19267
16, 0.099826, 17369
16, 0.199653, 15209
16, 0.299913, 12884
16, 0.399740, 11043
16, 0.500000, 9275
16, 0.599826, 7458
16, 0.699653, 5646
16, 0.799913, 3826
16, 0.899740, 2024
32, 0.000000, 6879
32, 0.098958, 6256
32, 0.199653, 5567
32, 0.298611, 4913
32, 0.399306, 4232
32, 0.500000, 3556
32, 0.598958, 2920
32, 0.699653, 2267
32, 0.798611, 1576
32, 0.899306, 899
64, 0.000000, 3726
64, 0.098765, 3378
64, 0.197531, 3040
64, 0.296296, 2658
64, 0.395062, 2331
64, 0.500000, 2023
64, 0.598765, 1697
64, 0.697531, 1371
64, 0.796296, 1003
64, 0.895062, 620
