block_size, sparsity, execution_time
8, 0.000000, 56726
8, 0.099854, 51261
8, 0.199951, 45564
8, 0.299805, 39728
8, 0.399902, 34265
8, 0.500000, 28508
8, 0.599854, 22939
8, 0.699951, 17222
8, 0.799805, 11607
8, 0.899902, 5894
16, 0.000000, 21464
16, 0.099609, 19340
16, 0.199219, 17250
16, 0.299805, 15108
16, 0.399414, 13002
16, 0.500000, 10885
16, 0.599609, 8786
16, 0.699219, 6665
16, 0.799805, 4503
16, 0.899414, 2402
32, 0.000000, 9796
32, 0.097656, 8926
32, 0.199219, 7953
32, 0.296875, 7000
32, 0.398438, 6019
32, 0.500000, 5065
32, 0.597656, 4175
32, 0.699219, 3180
32, 0.796875, 2223
32, 0.898438, 1260
64, 0.000000, 9358
64, 0.093750, 8511
64, 0.187500, 7676
64, 0.296875, 6683
64, 0.390625, 5839
64, 0.500000, 4861
64, 0.593750, 3999
64, 0.687500, 3151
64, 0.796875, 2121
64, 0.890625, 1267
128, 0.000000, 9251
128, 0.062500, 8689
128, 0.187500, 7592
128, 0.250000, 7042
128, 0.375000, 5933
128, 0.500000, 4793
128, 0.562500, 4246
128, 0.687500, 3119
128, 0.750000, 2504
128, 0.875000, 1362
256, 0.000000, 9180
256, 0.000000, 9188
256, 0.000000, 9193
256, 0.250000, 6971
256, 0.250000, 6963
256, 0.500000, 4706
256, 0.500000, 4711
256, 0.500000, 4701
256, 0.750000, 2451
256, 0.750000, 2446
