block_size, sparsity, execution_time
8, 0.000000, 50552
8, 0.099609, 45409
8, 0.199870, 39896
8, 0.299479, 34810
8, 0.399740, 29870
8, 0.500000, 24912
8, 0.599609, 20025
8, 0.699870, 15129
8, 0.799479, 10215
8, 0.899740, 5312
16, 0.000000, 16563
16, 0.098958, 14886
16, 0.197917, 13278
16, 0.299479, 11679
16, 0.398438, 10091
16, 0.500000, 8439
16, 0.598958, 6857
16, 0.697917, 5250
16, 0.799479, 3616
16, 0.898438, 1994
32, 0.000000, 6048
32, 0.093750, 5503
32, 0.197917, 4917
32, 0.291667, 4361
32, 0.395833, 3786
32, 0.500000, 3195
32, 0.593750, 2661
32, 0.697917, 2073
32, 0.791667, 1540
32, 0.895833, 932
64, 0.000000, 4744
64, 0.074074, 4421
64, 0.185185, 3924
64, 0.296296, 3437
64, 0.370370, 3123
64, 0.481481, 2618
64, 0.592593, 2140
64, 0.666667, 1813
64, 0.777778, 1324
64, 0.888889, 794
