block_size, sparsity, execution_time
8, 0.000000, 118030
8, 0.099609, 106142
8, 0.199707, 85884
8, 0.299805, 72304
8, 0.399902, 61987
8, 0.500000, 51920
8, 0.599609, 41733
8, 0.699707, 31512
8, 0.799805, 21306
8, 0.899902, 11110
16, 0.000000, 39045
16, 0.099609, 35282
16, 0.199219, 31480
16, 0.298828, 27626
16, 0.398438, 23856
16, 0.500000, 19988
16, 0.599609, 16189
16, 0.699219, 12408
16, 0.798828, 8636
16, 0.898438, 4779
32, 0.000000, 17913
32, 0.093750, 16396
32, 0.195312, 14613
32, 0.296875, 12890
32, 0.398438, 11175
32, 0.500000, 9446
32, 0.593750, 7864
32, 0.695312, 6183
32, 0.796875, 4371
32, 0.898438, 2523
64, 0.000000, 17134
64, 0.093750, 15649
64, 0.187500, 14146
64, 0.281250, 12584
64, 0.375000, 11063
64, 0.500000, 9085
64, 0.593750, 7562
64, 0.687500, 5930
64, 0.781250, 4429
64, 0.875000, 2772
128, 0.000000, 16933
128, 0.000000, 16997
128, 0.125000, 14943
128, 0.250000, 12959
128, 0.375000, 10953
128, 0.500000, 8852
128, 0.500000, 8897
128, 0.625000, 6782
128, 0.750000, 4741
128, 0.875000, 2674
256, 0.000000, 16820
256, 0.000000, 16827
256, 0.000000, 16827
256, 0.000000, 16816
256, 0.000000, 16830
256, 0.500000, 8696
256, 0.500000, 8693
256, 0.500000, 8704
256, 0.500000, 8694
256, 0.500000, 8706
