block_size, sparsity, execution_time
8, 0.000000, 223007
8, 0.099854, 172004
8, 0.199951, 147092
8, 0.299805, 129985
8, 0.399902, 109831
8, 0.500000, 92342
8, 0.599854, 73011
8, 0.699951, 55007
8, 0.799805, 37369
8, 0.899902, 19160
16, 0.000000, 71037
16, 0.099609, 64262
16, 0.199219, 59755
16, 0.299805, 52452
16, 0.399414, 45072
16, 0.500000, 37601
16, 0.599609, 30346
16, 0.699219, 23034
16, 0.799805, 15647
16, 0.899414, 8363
32, 0.000000, 33519
32, 0.097656, 31136
32, 0.199219, 27641
32, 0.296875, 24397
32, 0.398438, 21020
32, 0.500000, 17660
32, 0.597656, 14385
32, 0.699219, 11072
32, 0.796875, 7777
32, 0.898438, 4334
64, 0.000000, 32813
64, 0.093750, 30198
64, 0.187500, 27147
64, 0.296875, 23668
64, 0.390625, 20618
64, 0.500000, 17153
64, 0.593750, 14073
64, 0.687500, 11099
64, 0.796875, 7521
64, 0.890625, 4364
128, 0.000000, 32766
128, 0.062500, 30843
128, 0.187500, 26873
128, 0.250000, 24876
128, 0.375000, 21001
128, 0.500000, 16956
128, 0.562500, 14977
128, 0.687500, 10853
128, 0.750000, 8843
128, 0.875000, 4733
256, 0.000000, 32706
256, 0.000000, 32725
256, 0.000000, 32712
256, 0.250000, 24781
256, 0.250000, 24778
256, 0.500000, 16826
256, 0.500000, 16653
256, 0.500000, 16827
256, 0.750000, 8700
256, 0.750000, 9981
