block_size, sparsity, execution_time
8, 0.000000, 211876
8, 0.093750, 166336
8, 0.187500, 150297
8, 0.296875, 131138
8, 0.390625, 114046
8, 0.500000, 94729
8, 0.593750, 78398
8, 0.687500, 61003
8, 0.796875, 43104
8, 0.890625, 30067
16, 0.000000, 75275
16, 0.062500, 70133
16, 0.187500, 64981
16, 0.250000, 57021
16, 0.375000, 50874
16, 0.500000, 39416
16, 0.562500, 35442
16, 0.687500, 25256
16, 0.750000, 21233
16, 0.875000, 13103
32, 0.000000, 46027
32, 0.000000, 39787
32, 0.000000, 39628
32, 0.250000, 32703
32, 0.250000, 31693
32, 0.500000, 21630
32, 0.500000, 21629
32, 0.500000, 21645
32, 0.750000, 12595
32, 0.750000, 12593
64, 0.000000, 34663
64, 0.000000, 43576
64, 0.000000, 43548
64, 0.000000, 43571
64, 0.000000, 38513
64, 0.000000, 36249
64, 0.000000, 34147
64, 0.000000, 36749
64, 0.000000, 36708
64, 0.000000, 43585
