block_size, sparsity, execution_time
8, 0.000000, 230127
8, 0.099854, 186638
8, 0.199951, 150133
8, 0.299805, 127968
8, 0.399902, 109695
8, 0.500000, 92529
8, 0.599854, 73660
8, 0.699951, 53885
8, 0.799805, 37918
8, 0.899902, 19497
16, 0.000000, 71494
16, 0.099609, 66921
16, 0.199219, 56352
16, 0.299805, 51913
16, 0.399414, 44542
16, 0.500000, 37313
16, 0.599609, 30101
16, 0.699219, 22818
16, 0.799805, 15515
16, 0.899414, 8276
32, 0.000000, 33234
32, 0.097656, 31106
32, 0.199219, 27678
32, 0.296875, 24453
32, 0.398438, 20964
32, 0.500000, 17656
32, 0.597656, 14425
32, 0.699219, 11067
32, 0.796875, 7834
32, 0.898438, 4336
64, 0.000000, 32805
64, 0.093750, 29756
64, 0.187500, 26790
64, 0.296875, 23327
64, 0.390625, 20429
64, 0.500000, 16862
64, 0.593750, 13860
64, 0.687500, 10901
64, 0.796875, 7408
64, 0.890625, 4331
128, 0.000000, 32416
128, 0.062500, 30354
128, 0.187500, 26450
128, 0.250000, 24568
128, 0.375000, 20580
128, 0.500000, 16735
128, 0.562500, 14724
128, 0.687500, 10604
128, 0.750000, 8749
128, 0.875000, 4691
256, 0.000000, 37607
256, 0.000000, 37574
256, 0.000000, 37585
256, 0.250000, 28481
256, 0.250000, 28467
256, 0.500000, 19149
256, 0.500000, 19315
256, 0.500000, 19131
256, 0.750000, 9964
256, 0.750000, 9976
