block_size, sparsity, execution_time
8, 0.000000, 56848
8, 0.099854, 51239
8, 0.199951, 45431
8, 0.299805, 39897
8, 0.399902, 34294
8, 0.500000, 28551
8, 0.599854, 22924
8, 0.699951, 17276
8, 0.799805, 11558
8, 0.899902, 5905
16, 0.000000, 21571
16, 0.099609, 19363
16, 0.199219, 17272
16, 0.299805, 15124
16, 0.399414, 13005
16, 0.500000, 10889
16, 0.599609, 8773
16, 0.699219, 6669
16, 0.799805, 4507
16, 0.899414, 2393
32, 0.000000, 9797
32, 0.097656, 8892
32, 0.199219, 7901
32, 0.296875, 7014
32, 0.398438, 6013
32, 0.500000, 5092
32, 0.597656, 4146
32, 0.699219, 3204
32, 0.796875, 2244
32, 0.898438, 1267
64, 0.000000, 9342
64, 0.093750, 8532
64, 0.187500, 7666
64, 0.296875, 6688
64, 0.390625, 5839
64, 0.500000, 4827
64, 0.593750, 4026
64, 0.687500, 3139
64, 0.796875, 2159
64, 0.890625, 1253
128, 0.000000, 9237
128, 0.062500, 8689
128, 0.187500, 7593
128, 0.250000, 7029
128, 0.375000, 5907
128, 0.500000, 4793
128, 0.562500, 4252
128, 0.687500, 3111
128, 0.750000, 2525
128, 0.875000, 1354
256, 0.000000, 9183
256, 0.000000, 9183
256, 0.000000, 9181
256, 0.250000, 6960
256, 0.250000, 6971
256, 0.500000, 4718
256, 0.500000, 4709
256, 0.500000, 4684
256, 0.750000, 2453
256, 0.750000, 2450
