block_size, sparsity, execution_time
8, 0.000000, 98884
8, 0.099935, 88924
8, 0.199951, 72618
8, 0.299967, 63626
8, 0.399984, 54559
8, 0.500000, 45064
8, 0.599935, 34737
8, 0.699951, 26058
8, 0.799967, 17514
8, 0.899984, 8865
16, 0.000000, 23844
16, 0.099935, 21525
16, 0.199870, 19177
16, 0.299805, 16740
16, 0.399740, 13982
16, 0.500000, 11405
16, 0.599935, 9175
16, 0.699870, 6946
16, 0.799805, 4693
16, 0.899740, 2422
32, 0.000000, 8473
32, 0.098958, 7699
32, 0.199219, 6842
32, 0.299479, 6000
32, 0.399740, 5101
32, 0.500000, 4342
32, 0.598958, 3464
32, 0.699219, 2682
32, 0.799479, 1818
32, 0.899740, 986
64, 0.000000, 4558
64, 0.097222, 4157
64, 0.199074, 3710
64, 0.296296, 3393
64, 0.398148, 2854
64, 0.500000, 2328
64, 0.597222, 1910
64, 0.699074, 2029
64, 0.796296, 1424
64, 0.898148, 807
