block_size, sparsity, execution_time
8, 0.000000, 56865
8, 0.099854, 51297
8, 0.199951, 45488
8, 0.299805, 39843
8, 0.399902, 34282
8, 0.500000, 28522
8, 0.599854, 22928
8, 0.699951, 17231
8, 0.799805, 11545
8, 0.899902, 5914
16, 0.000000, 21489
16, 0.099609, 19381
16, 0.199219, 17258
16, 0.299805, 15140
16, 0.399414, 13024
16, 0.500000, 10892
16, 0.599609, 8793
16, 0.699219, 6667
16, 0.799805, 4502
16, 0.899414, 2395
32, 0.000000, 9807
32, 0.097656, 8911
32, 0.199219, 7922
32, 0.296875, 7023
32, 0.398438, 6025
32, 0.500000, 5079
32, 0.597656, 4134
32, 0.699219, 3180
32, 0.796875, 2219
32, 0.898438, 1256
64, 0.000000, 9326
64, 0.093750, 8492
64, 0.187500, 7669
64, 0.296875, 6673
64, 0.390625, 5832
64, 0.500000, 4844
64, 0.593750, 4011
64, 0.687500, 3178
64, 0.796875, 2130
64, 0.890625, 1263
128, 0.000000, 9266
128, 0.062500, 8627
128, 0.187500, 7595
128, 0.250000, 7036
128, 0.375000, 5922
128, 0.500000, 4803
128, 0.562500, 4239
128, 0.687500, 3096
128, 0.750000, 2528
128, 0.875000, 1353
256, 0.000000, 9182
256, 0.000000, 9181
256, 0.000000, 9188
256, 0.250000, 6957
256, 0.250000, 6957
256, 0.500000, 4693
256, 0.500000, 4707
256, 0.500000, 4708
256, 0.750000, 2450
256, 0.750000, 2448
