block_size, sparsity, execution_time
8, 0.000000, 200957
8, 0.099609, 170070
8, 0.199219, 134331
8, 0.299805, 116971
8, 0.399414, 99409
8, 0.500000, 81844
8, 0.599609, 65002
8, 0.699219, 49073
8, 0.799805, 34500
8, 0.899414, 18370
16, 0.000000, 64492
16, 0.097656, 58795
16, 0.199219, 54979
16, 0.296875, 45345
16, 0.398438, 40036
16, 0.500000, 33565
16, 0.597656, 27436
16, 0.699219, 20940
16, 0.796875, 14841
16, 0.898438, 8171
32, 0.000000, 34594
32, 0.093750, 31596
32, 0.187500, 28607
32, 0.296875, 24943
32, 0.390625, 21807
32, 0.500000, 18390
32, 0.593750, 15161
32, 0.687500, 12252
32, 0.796875, 8612
32, 0.890625, 5322
64, 0.000000, 34354
64, 0.062500, 32205
64, 0.187500, 28036
64, 0.250000, 26197
64, 0.375000, 22268
64, 0.500000, 18084
64, 0.562500, 15808
64, 0.687500, 12007
64, 0.750000, 9876
64, 0.875000, 5530
128, 0.000000, 33532
128, 0.000000, 33562
128, 0.000000, 33577
128, 0.250000, 30200
128, 0.250000, 30187
128, 0.500000, 20810
128, 0.500000, 20390
128, 0.500000, 21144
128, 0.750000, 11382
128, 0.750000, 11394
256, 0.000000, 39684
256, 0.000000, 39861
256, 0.000000, 39700
256, 0.000000, 39652
256, 0.000000, 39877
256, 0.000000, 39817
256, 0.000000, 39755
256, 0.000000, 39825
256, 0.000000, 39630
256, 0.000000, 39826
