block_size, sparsity, execution_time
8, 0.000000, 26635
8, 0.000000, 26397
8, 0.125000, 23770
8, 0.250000, 20835
8, 0.375000, 18216
8, 0.500000, 15382
8, 0.500000, 15495
8, 0.625000, 12802
8, 0.750000, 10303
8, 0.875000, 7655
16, 0.000000, 17816
16, 0.000000, 17722
16, 0.000000, 17810
16, 0.250000, 14324
16, 0.250000, 14390
16, 0.500000, 11090
16, 0.500000, 11098
16, 0.500000, 11082
16, 0.750000, 8081
16, 0.750000, 8033
32, 0.000000, 13344
32, 0.000000, 13379
32, 0.000000, 13349
32, 0.000000, 13375
32, 0.000000, 13337
32, 0.500000, 8897
32, 0.500000, 8896
32, 0.500000, 8900
32, 0.500000, 8873
32, 0.500000, 8907
64, 0.000000, 13268
64, 0.000000, 13237
64, 0.000000, 13274
64, 0.000000, 13251
64, 0.000000, 13260
64, 0.000000, 13255
64, 0.000000, 13271
64, 0.000000, 13250
64, 0.000000, 13261
64, 0.000000, 13234
