block_size, sparsity, execution_time
8, 0.000000, 85827
8, 0.099609, 77283
8, 0.199219, 65539
8, 0.298828, 59912
8, 0.398438, 50262
8, 0.500000, 41998
8, 0.599609, 34268
8, 0.699219, 26216
8, 0.798828, 18078
8, 0.898438, 9993
16, 0.000000, 32313
16, 0.093750, 30597
16, 0.195312, 27270
16, 0.296875, 24055
16, 0.398438, 20866
16, 0.500000, 17705
16, 0.593750, 14741
16, 0.695312, 11530
16, 0.796875, 8147
16, 0.898438, 4684
32, 0.000000, 18352
32, 0.093750, 16752
32, 0.187500, 15258
32, 0.281250, 13755
32, 0.375000, 12186
32, 0.500000, 10212
32, 0.593750, 10229
32, 0.687500, 8221
32, 0.781250, 6361
32, 0.875000, 4237
64, 0.000000, 21864
64, 0.000000, 21904
64, 0.125000, 19496
64, 0.250000, 16989
64, 0.375000, 14515
64, 0.500000, 11773
64, 0.500000, 11829
64, 0.625000, 9350
64, 0.750000, 6687
64, 0.875000, 4002
128, 0.000000, 21557
128, 0.000000, 21590
128, 0.000000, 21581
128, 0.000000, 21574
128, 0.000000, 21566
128, 0.500000, 11382
128, 0.500000, 11380
128, 0.500000, 11398
128, 0.500000, 11398
128, 0.500000, 11370
