block_size, sparsity, execution_time
8, 0.000000, 196041
8, 0.099609, 153728
8, 0.199219, 131908
8, 0.299805, 118109
8, 0.399414, 99413
8, 0.500000, 81850
8, 0.599609, 67757
8, 0.699219, 51341
8, 0.799805, 34858
8, 0.899414, 18512
16, 0.000000, 64552
16, 0.097656, 57238
16, 0.199219, 56626
16, 0.296875, 44857
16, 0.398438, 40874
16, 0.500000, 34402
16, 0.597656, 28058
16, 0.699219, 21439
16, 0.796875, 15208
16, 0.898438, 8482
32, 0.000000, 35267
32, 0.093750, 32254
32, 0.187500, 29109
32, 0.296875, 25523
32, 0.390625, 22343
32, 0.500000, 18779
32, 0.593750, 15569
32, 0.687500, 12531
32, 0.796875, 8859
32, 0.890625, 5384
64, 0.000000, 35172
64, 0.062500, 33028
64, 0.187500, 28792
64, 0.250000, 26715
64, 0.375000, 22603
64, 0.500000, 18520
64, 0.562500, 16428
64, 0.687500, 11989
64, 0.750000, 10222
64, 0.875000, 5635
128, 0.000000, 34364
128, 0.000000, 40112
128, 0.000000, 40030
128, 0.250000, 30543
128, 0.250000, 31307
128, 0.500000, 21558
128, 0.500000, 21136
128, 0.500000, 21592
128, 0.750000, 11389
128, 0.750000, 11407
256, 0.000000, 39804
256, 0.000000, 39899
256, 0.000000, 39674
256, 0.000000, 39718
256, 0.000000, 39864
256, 0.000000, 39886
256, 0.000000, 39766
256, 0.000000, 39704
256, 0.000000, 39921
256, 0.000000, 39699
