block_size, sparsity, execution_time
8, 0.000000, 93150
8, 0.093750, 78077
8, 0.195312, 67147
8, 0.296875, 59341
8, 0.398438, 53167
8, 0.500000, 42303
8, 0.593750, 36637
8, 0.695312, 28474
8, 0.796875, 19907
8, 0.898438, 11409
16, 0.000000, 34070
16, 0.093750, 31516
16, 0.187500, 28659
16, 0.281250, 25774
16, 0.375000, 23130
16, 0.500000, 18981
16, 0.593750, 19747
16, 0.687500, 15828
16, 0.781250, 12026
16, 0.875000, 7959
32, 0.000000, 22786
32, 0.000000, 23108
32, 0.125000, 20440
32, 0.250000, 18359
32, 0.375000, 16106
32, 0.500000, 13016
32, 0.500000, 12564
32, 0.625000, 10500
32, 0.750000, 7797
32, 0.875000, 5218
64, 0.000000, 21609
64, 0.000000, 21588
64, 0.000000, 21635
64, 0.000000, 21632
64, 0.000000, 21618
64, 0.500000, 11987
64, 0.500000, 11995
64, 0.500000, 11972
64, 0.500000, 12001
64, 0.500000, 11979
